termCode;crn;subjCode;crseNumb;title;campus;seats;semester;programsAmount;block;beginTime;endTime;startDate;endDate;monday;tuesday;wednesday;thursday;friday;saturday;sunday;requiredFloor;specialRequirement;crossList;crossListSeats
202520;20816;DAIQ;00614;Control Estadístico de Proceso;A;15;06;1;E;1615;1745;18-08-2025;19-12-2025;;;Y;;;;;;;;
202520;20816;DAIQ;00614;Control Estadístico de Proceso;A;15;06;1;E;1615;1745;18-08-2025;19-12-2025;Y;;;;;;;;;;
202520;20817;DAIQ;00616;Administración de Personal;A;5;06;1;B;0955;1125;18-08-2025;19-12-2025;;;;;Y;;;;;;
202520;20817;DAIQ;00616;Administración de Personal;A;5;06;1;F;1800;1930;18-08-2025;19-12-2025;;;Y;;;;;;;;
202520;20817;DAIQ;00616;Administración de Personal;A;5;06;1;G;1945;2115;18-08-2025;19-12-2025;;;Y;;;;;;;;
202520;20818;DAIQ;00600;Termodinámica;A;80;03;8;C;1140;1310;18-08-2025;19-12-2025;;Y;;;;;;;;;
202520;20818;DAIQ;00600;Termodinámica;A;80;03;8;D;1430;1600;18-08-2025;19-12-2025;;;;;Y;;;;;;
202520;20818;DAIQ;00600;Termodinámica;A;80;03;8;E;1615;1745;18-08-2025;19-12-2025;;;Y;;;;;;;;
202520;20819;DAMA;00472;Didáctica de la Matemática II;A;30;04;1;E;1615;1745;18-08-2025;19-12-2025;;;;;Y;;;;;;
202520;20819;DAMA;00472;Didáctica de la Matemática II;A;30;04;1;F;1800;1930;18-08-2025;19-12-2025;;;;;Y;;;;;;
202520;20819;DAMA;00472;Didáctica de la Matemática II;A;30;04;1;G;1945;2115;18-08-2025;19-12-2025;;;;Y;;;;;;;
202520;20820;DAIM;00713;Materiales y sus Propiedades;A;30;07;1;F;1800;1930;18-08-2025;19-12-2025;;;;;Y;;;;;;
202520;20820;DAIM;00713;Materiales y sus Propiedades;A;30;07;1;F;1800;1930;18-08-2025;19-12-2025;;;;Y;;;;;;;
202520;20820;DAIM;00713;Materiales y sus Propiedades;A;30;07;1;F;1800;1930;18-08-2025;19-12-2025;;;Y;;;;;;;;
202520;20831;DAIM;00622;Perforación y Tronadura;A;60;06;1;B;0955;1125;18-08-2025;19-12-2025;;;Y;;;;;;;;
202520;20831;DAIM;00622;Perforación y Tronadura;A;60;06;1;B;0955;1125;18-08-2025;19-12-2025;;Y;;;;;;;;;
202520;20833;DAIM;00602;Materiales y Estática;A;55;03;1;D;1430;1600;18-08-2025;19-12-2025;;;Y;;;;;;;;
202520;20833;DAIM;00602;Materiales y Estática;A;55;03;1;F;1800;1930;18-08-2025;19-12-2025;Y;;;;;;;;;;
202520;20834;DAIQ;00609;Transf. de Calor Aplicada;A;30;06;1;A;0810;0940;18-08-2025;19-12-2025;Y;;;;;;;;;;
202520;20834;DAIQ;00609;Transf. de Calor Aplicada;A;30;06;1;B;0955;1125;18-08-2025;19-12-2025;;;Y;;;;;;;;
202520;20834;DAIQ;00609;Transf. de Calor Aplicada;A;30;06;1;B;0955;1125;18-08-2025;19-12-2025;Y;;;;;;;;;;
202520;20837;EAED;00410;Diseño y Método de Enseñanza 1;A;30;04;3;F;1800;1930;18-08-2025;19-12-2025;;;Y;;;;;;;;
202520;20837;EAED;00410;Diseño y Método de Enseñanza 1;A;30;04;3;F;1800;1930;18-08-2025;19-12-2025;Y;;;;;;;;;;
202520;20856;DACF;00303;Quimica Farmaceutica Org. I;A;40;03;1;B;0955;1125;18-08-2025;19-12-2025;;;;;Y;;;;;;
202520;20871;DAMA;00671;Ecuaciones Diferenciales;A;30;06;1;A;0810;0940;18-08-2025;19-12-2025;;;;;Y;;;;;;
202520;20871;DAMA;00671;Ecuaciones Diferenciales;A;30;06;1;A;0810;0940;18-08-2025;19-12-2025;;;;Y;;;;;;;
202520;20871;DAMA;00671;Ecuaciones Diferenciales;A;30;06;1;A;0810;0940;18-08-2025;19-12-2025;Y;;;;;;;;;;
202520;20894;DATE;01204;Ética y Moral Profesional;A;40;04;49;F;1800;1930;18-08-2025;19-12-2025;;;Y;;;;;;;;
202520;20895;DATE;01204;Ética y Moral Profesional;A;40;04;49;F;1800;1930;18-08-2025;19-12-2025;;;;Y;;;;;;;
202520;20896;DATE;01204;Ética y Moral Profesional;A;40;04;49;D;1430;1600;18-08-2025;19-12-2025;;;;;Y;;;;;;
202520;20904;DAMA;00471;Cálculo II;A;30;04;1;C;1140;1310;18-08-2025;19-12-2025;Y;;;;;;;;;;
202520;20907;DAMA;00870;Estadíst. y Probabilidades II;A;30;08;1;C;1140;1310;18-08-2025;19-12-2025;;;;;Y;;;;;;
202520;20907;DAMA;00870;Estadíst. y Probabilidades II;A;30;08;1;C;1140;1310;18-08-2025;19-12-2025;;Y;;;;;;;;;
202520;20907;DAMA;00870;Estadíst. y Probabilidades II;A;30;08;1;D;1430;1600;18-08-2025;19-12-2025;Y;;;;;;;;;;
202520;20928;DAQU;00630;Química Cuántica;A;10;06;1;A;0810;0940;18-08-2025;19-12-2025;;;Y;;;;;;;;
202520;20928;DAQU;00630;Química Cuántica;A;10;06;1;E;1615;1745;18-08-2025;19-12-2025;Y;;;;;;;;;;
202520;20931;DAIM;00834;Ventilación de Minas;A;70;08;1;A;0810;0940;18-08-2025;19-12-2025;;Y;;;;;;;;;
202520;20931;DAIM;00834;Ventilación de Minas;A;70;08;1;C;1140;1310;18-08-2025;19-12-2025;Y;;;;;;;;;;
202520;20932;DAIM;00832;Minería Cielo Abierto;A;40;06;1;D;1430;1600;18-08-2025;19-12-2025;;Y;;;;;;;;;
